to_variable,from_table,key_0,key_1,key_2,key_3,,
Cost|Variable,var_costs,total,,,,,
Capacity|Electricity|Lignite,installed_capacity,electricity,all,lignite,nominal_value,,
Capacity|Electricity|Hard coal,installed_capacity,electricity,all,hard_coal,nominal_value,,
Capacity|Electricity|Gas CCGT,installed_capacity,electricity,all,natural_gas,nominal_value,,
Capacity|Electricity|Oil,installed_capacity,electricity,all,oil,nominal_value,,
Capacity|Electricity|Other nonrenewable,installed_capacity,electricity,all,other,nominal_value,,
Capacity|Electricity|Wind onshore,installed_capacity,electricity,ee,wind_onshore,nominal_value,,geothermal
Capacity|Electricity|Wind offshore,installed_capacity,electricity,ee,wind_offshore,nominal_value,,
Capacity|Electricity|Solar PV,installed_capacity,electricity,ee,solar,nominal_value,,
Capacity|Electricity|Hydro ROR,installed_capacity,electricity,ee,hydro,nominal_value,,
Capacity|Electricity|Storage|Liion|Power,installed_capacity,electricity,storage,li_ion,nominal_value,,
Capacity|Electricity|Storage|Liion|Energy,installed_capacity,electricity,storage,li_ion,nominal_capacity,,
Capacity|Electricity|Storage|Pumped hydro|Power,installed_capacity,electricity,storage,phes,nominal_value,,
Capacity|Electricity|Storage|Pumped hydro|Energy,installed_capacity,electricity,storage,phes,nominal_capacity,,
Energy|Electricity|Lignite,yearly_generation,electricity,all,lignite,,,
Energy|Electricity|Hard coal,yearly_generation,electricity,all,hard_coal,,,
Energy|Electricity|Gas CCGT,yearly_generation,electricity,all,natural_gas,,,
Energy|Electricity|Oil,yearly_generation,electricity,all,oil,,,
Energy|Electricity|Other nonrenewable,yearly_generation,electricity,all,other,,,
Energy|Electricity|Wind onshore,yearly_generation,electricity,ee,wind_onshore,,,
Energy|Electricity|Wind offshore,yearly_generation,electricity,ee,wind_offshore,,,
Energy|Electricity|Solar PV,yearly_generation,electricity,ee,solar,,,
Energy|Electricity|Hydro ROR,yearly_generation,electricity,ee,hydro,,,
Energy|Electricity|Storage|Liion,yearly_generation,electricity,storage,li_ion,,,
Energy|Electricity|Storage|Pumped hydro,yearly_generation,electricity,storage,phes,,,
Cycles|Electricity|Storage|Liion,cycles,electricity,storage,li_ion,,,
Cycles|Electricity|Storage|Pumped hydro,cycles,electricity,storage,phes,,,
Carbon emissions,emissions,total,,,,,
Price|Electricity|Weighted average,average_yearly_price,avg_price,,,,,
Price|Electricity|Storage|Liion|Weighted average charging,charge_discharge_prices,electricity,storage_charge,li_ion,,,
Price|Electricity|Storage|Liion|Weighted average discharging,charge_discharge_prices,electricity,storage_discharge,li_ion,,,
Price|Electricity|Storage|Pumped hydro|Weighted average charging,charge_discharge_prices,electricity,storage_charge,phes,,,
Price|Electricity|Storage|Pumped hydro|Weighted average discharging,charge_discharge_prices,electricity,storage_discharge,phes,,,
Startups|Electricity|Lignite,startups,electricity,all,lignite,,,
Startups|Electricity|Hard coal,startups,electricity,all,hard_coal,,,
Startups|Electricity|Gas CCGT,startups,electricity,all,natural_gas,,,
Startups|Electricity|Oil,startups,electricity,all,oil,,,
Startups|Electricity|Other nonrenewable,startups,electricity,all,other,,,
Startups|Electricity|Total number,startups,electricity,sum,None,,,
Energy|Electricity|Peak demand,demand,electricity,total,max,,,
Energy|Electricity|Total demand,demand,electricity,total,sum,,,
Energy|Electricity|Renewable curtailment|Absolute,curtailment,electricity,ee,all,,,
Energy|Electricity|Renewable curtailment|Relative,curtailment_relative,electricity,ee,all,,,
