Model,Scenario,Region,Variable,Unit,Value,Comment
,,DE,Capacity|Electricity|Lignite,GW,,
,,DE,Capacity|Electricity|Hard coal,GW,,
,,DE,Capacity|Electricity|Gas CCGT,GW,,
,,DE,Capacity|Electricity|Oil,GW,,
,,DE,Capacity|Electricity|Other nonrenewable,GW,,
,,DE,Capacity|Electricity|Wind onshore,GW,,
,,DE,Capacity|Electricity|Wind offshore,GW,,
,,DE,Capacity|Electricity|Solar PV,GW,,
,,DE,Capacity|Electricity|Hydro ROR,GW,,
,,DE,Capacity|Electricity|Storage|Liion|Power,GW,,
,,DE,Capacity|Electricity|Storage|Liion|Energy,GWh,,
,,DE,Capacity|Electricity|Storage|Pumped hydro|Power,GW,,
,,DE,Capacity|Electricity|Storage|Pumped hydro|Energy,GWh,,
,,DE,Energy|Electricity|Lignite,TWh,,
,,DE,Energy|Electricity|Hard coal,TWh,,
,,DE,Energy|Electricity|Gas CCGT,TWh,,
,,DE,Energy|Electricity|Oil,TWh,,
,,DE,Energy|Electricity|Other nonrenewable,TWh,,
,,DE,Energy|Electricity|Wind onshore,TWh,,
,,DE,Energy|Electricity|Wind offshore,TWh,,
,,DE,Energy|Electricity|Solar PV,TWh,,
,,DE,Energy|Electricity|Hydro ROR,TWh,,
,,DE,Energy|Electricity|Storage|Liion,TWh,,
,,DE,Energy|Electricity|Storage|Pumped hydro,TWh,,
,,DE,Cycles|Electricity|Storage|Liion,Real number,,
,,DE,Cycles|Electricity|Storage|Pumped hydro,Real number,,
,,DE,Carbon emissions,Million tons,,
,,DE,Price|Electricity|Weighted average,EUR/MWh,,
,,DE,Price|Electricity|Storage|Liion|Weighted average charging,EUR/MWh,,
,,DE,Price|Electricity|Storage|Liion|Weighted average discharging,EUR/MWh,,
,,DE,Price|Electricity|Storage|Pumped hydro|Weighted average charging,EUR/MWh,,
,,DE,Price|Electricity|Storage|Pumped hydro|Weighted average discharging,EUR/MWh,,
,,DE,Startups|Electricity|Lignite,Real number,,
,,DE,Startups|Electricity|Hard coal,Real number,,
,,DE,Startups|Electricity|Gas CCGT,Real number,,
,,DE,Startups|Electricity|Oil,Real number,,
,,DE,Startups|Electricity|Other nonrenewable,Real number,,
,,DE,Startups|Electricity|Total number,Real number,,
,,DE,Energy|Electricity|Peak demand,GW,,
,,DE,Energy|Electricity|Total demand,TWh,,
